CourseName,Description
FIN 580,"Credit: 0 TO 4 hours.
Course Description: Lectures and discussions relating to new areas of interest. See class schedule for topics and prerequisites.
Prerequisite: Varies by section."
ARTD 211,
NPRE 330,"Credit: 3 hours.
Course Description: Development of a materials engineering background in the context of nuclear systems and radiation applications; relation of structure of materials to their physical and mechanical properties; development of phase formation and reaction kinetics from basic thermodynamics principles; charged particle interactions with surfaces; transport concepts of neutral and charged particles in matter; materials performance in nuclear and radiation applications, including radiation damage and effects.
"
ENG 491,"Credit: 1 TO 4 hours.
Course Description: Disciplined, multi-department, team-structured project design experience with an overall (or major phase) end-of-term completion date. Projects involve design specification through a proposal, analyses of cost and other tradeoffs among alternative designs, design review, fabrication and assembly, functional and environmental testing, and demonstrations (as applicable). Reports and presentations at the end of each term. Individual engineering activities as well as team responsibilities.
Prerequisite: Consent of instructor."
CHLH 594,
MUS 132,"Credit: 3 hours.
Course Description: Courses within this rubric provide an analytical and historical introduction to genres of popular music from the United States and around the world. Iterations of the course may focus on a specific genre, such as Rock, Reggae, or Afropop, or may deal with broader subjects, such as the continua of styles including R&B, Soul, Funk, and Hip Hop, or the pan-generic, international phenomenon of pop music globalization in the twentieth century.
"
ABE 598,
MATH 225,"Credit: 2 hours.
Course Description: Systems of linear equations, matrices and inverses, determinants, and a glimpse at vector spaces, eigenvalues and eigenvectors.
Prerequisite: MATH 220 or MATH 221; or equivalent."
BADM 554,"Credit: 4 hours.
Course Description: Databases are important because they play a critical role in today's business environment. Almost all modern organizations use database technologies to store and manage data in every functional area of business including its operations, finance, accounting, and marketing. By understanding data modeling and being able to query databases, you possess one of the most marketable skills to help a business better manage their data and discover new opportunities through better analytics. At the end of this course you will be able to (a) Understand and help articulate the data needs of the company (requirement analysis), (b) Conceptually model the relationship of the data (data modeling), (c) Query databases to meet business requirements, (d) Understand the principles of design of data warehouses, (e) Understand the alternatives to relational databases (no SQL) with reference to storing Big Data, and (f) Explain the benefits of distributed databases
"
ECE 447,
SHS 383,
MUS 400,
LER 100,"Credit: 3 hours.
Course Description: Provides an overview of workers and unions in American society. Looks at economic, political, and workplace issues facing working people, why and how workers join unions, how unions are structured and function, and how unions and management bargain a contract. Provides a historical overview of the American labor movement, and discusses the contemporary struggles workers and unions face in a rapidly changing global economy.
"
CPSC 226/HORT 226,
UP 136,"Credit: 3 hours.
Course Description: Provides students with a basic understanding of how to make cities more sustainable by connecting how and where we live to environmental issues. Emphasis on green infrastructure and urban systems, vulnerability and resilience, green design and construction methods, energy production and consumption, and water conservation.
"
PHYS 496,"Credit: 3 hours.
Course Description: Examination of current research topics through extensive reading, writing, and oral-presentation activities.
"
GLBL 296,"Credit: 1 hours.
Course Description: Examination of current controversies and larger ethical issues in today's global society. Topics could include: immigration, global environmental debates, and population issues.
"
LAW 792,"Credit: 1 TO 4 hours.
Course Description: This is an umbrella course listing for specialty topics of current legal issues of interest.
"
ATMS 100/GEOG 100,"Credit: 3 hours.
Course Description: Introduces the student to the basic concepts and principles of meteorology via the interpretation of weather maps and charts; uses current weather information to illustrate key concepts, emphasizes the physical atmospheric processes responsible for weather. By the end of the class students will be able to interpret and make basic weather forecasts as well as be able to explain basic atmospheric phenomena.
"
LAW 798,"Credit: 1 TO 4 hours.
Course Description: This is an umbrella course listing for specialty topics of special interest.
"
UP 438,
LAW 501,"Credit: 3 OR 4 hours.
Course Description: This course concerns itself with the laws, regulations, and customs that govern the legal profession in the United States, and considers those matters in the context of an increasingly globalized legal profession.
"
BIOE 415/ECE 415,"Credit: 2 hours.
Course Description: Laboratory to accompany BIOE 414. Use of sensors and medical instrumentation for static and dynamic biological inputs. Measurement of biomedical signals.
Prerequisite: Credit or concurrent registration in BIOE 414."
GEOG 517,
KIN 448/CHLH 448,"Credit: 3 OR 4 hours.
Course Description: Examines the psychological determinants and consequences of exercise and physical activity as a health promoting behavioral process.
Prerequisite: Junior standing or above, or graduate standing, or consent of instructor."
MATH 461,"Credit: 3 OR 4 hours.
Course Description: Introduction to mathematical probability; includes the calculus of probability, combinatorial analysis, random variables, expectation, distribution functions, moment-generating functions, and central limit theorem.
Prerequisite: MATH 241 or equivalent."
STAT 428/CSE 428,"Credit: 3 OR 4 hours.
Course Description: Examines statistical packages, numerical analysis for linear and nonlinear models, graphics, and random number generation and Monte Carlo methods.
Prerequisite: STAT 410 or equivalent; knowledge of a programming language."
LAW 501,"Credit: 3 OR 4 hours.
Course Description: This course concerns itself with the laws, regulations, and customs that govern the legal profession in the United States, and considers those matters in the context of an increasingly globalized legal profession.
"
ANSC 294,
CWL 190,"Credit: 3 hours.
Course Description: Comparative, cross-cultural study of major works from the postcolonial world. Topics may include pre-colonial cultures, the impact of colonialism, decolonization, modernization, and/or globalization. All readings in English.
"
SOC 373,
TE 100,"Credit: 1 hours.
Course Description: Students will learn about innovation, identify key attributes of innovation leadership, and practice innovation leadership personally and professionally. Students will identify opportunities and work in teams to address them, practicing leadership and followership and honing their written and verbal presentation skills. Students also complete a personal plan for continuing to develop their innovation leadership skills. Open to all majors.
"
FSHN 251,"Credit: 3 hours.
Course Description: Anatomy and physiology of the respiratory, nervous, endocrine, immune, reproductive, and excretory systems. Special focus on the absorption, distribution, storage and mobilization of macronutrients and micronutrients. Learn the necessary concepts on cell biology and biochemistry required to understand human physiology. Manifestation of disease as a result of nutritional imbalances in body systems. Evaluation of the effectiveness and potential toxicity of nutritional supplements commonly used in the US. Pharmacological interventions and current therapeutics against diseases related to nutritional disorders.
Prerequisite: FSHN 220."
ECE 598,"Credit: 0 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in electrical and computer engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
ME 199,"Credit: 1 TO 5 hours.
Course Description: 
"
SOCW 380,"Credit: 3 TO 6 hours.
Course Description: Presents and analyzes special topics related to current social work practice, policy and research. Topics vary; see Class Schedule for current offering.
"
ECON 417,
ACCY 512,"Credit: 4 hours.
Course Description: Data analytics incorporated into management decision making, including planning, cost management, and management control system design. Focuses on developing your skills of gathering and analyzing data for internal decision making purposes.
Prerequisite: Enrollment in graduate accounting degree program or consent of department."
MUS 333,
NUTR 511/ANSC 521/FSHN 511,"Credit: 4 hours.
Course Description: Biochemical and molecular regulatory mechanisms of macronutrient metabolism under various physiological conditions in mammalian species, including humans.
Prerequisite: MCB 450, MCB 244, MCB 246 and FSHN 426/ANSC 520 (or equivalent courses in biochemistry, physiology and nutrition). Second year graduate standing or above, or consent of instructor."
CS 598,"Credit: 2 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
EPS 590,
TE 567,"Credit: 1 hours.
Course Description: Concepts, tools, and language used by venture capitalists (VCs). Venture-scale opportunity assessment and articulation; venture capital financing and valuation; deal structure; term sheets; financial plans for startups; customer development and marketing; product iterations; sales execution.
Prerequisite: TE 566."
ENGL 373/MACS 373,"Credit: 3 hours.
Course Description: Extended investigation of major subjects and issues in cinema and other media; topics vary and typically include studies of author/directors, genres, historical movements, critical approaches, and themes.
Prerequisite: One college-level course in film studies or literature."
CEE 598,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in civil and environmental engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
GEOL 497,"Credit: 1 TO 4 hours.
Course Description: Seminar or lectures in subjects not covered by regular course offerings; for advanced undergraduates and graduate students.
Prerequisite: Consent of instructor."
MACS 295,"Credit: 3 hours.
Course Description: Introduction to the study of special topics in media and cinema studies, including cultural, social, historical, economic, and/or political issues in media and/or cinema. Topics vary but may include: genres, stars, historical movements, thematic studies, television, convergence culture, new media.
"
RHET 233,"Credit: 3 hours.
Course Description: Instruction in developing research-based arguments of moderate complexity within a special topics format. Introduction to the use of multimodal or other non-print resources as evidence in written arguments.
Prerequisite: Completion of campus Composition I general education requirement."
BADM 460/TMGT 460,"Credit: 3 hours.
Course Description: Introduces the identification and analysis of various aspects of business processes. The course defines business processes and provides tools for designing and analyzing them.
Prerequisite: BADM 367."
CINE 395,
MSE 420,"Credit: 3 hours.
Course Description: Ceramic material fundamentals, emphasizing structure-property relations. Development, use, and control of the properties of a wide variety of ceramic materials from a physico-chemical point of view.
Prerequisite: MSE 401. Credit or concurrent registration in MSE 405."
PATH 641,
IB 496,"Credit: 1 TO 5 hours.
Course Description: Experimental and temporary courses.
Prerequisite: Consent of instructor."
CI 446,"Credit: 2 TO 4 hours.
Course Description: Explores cultural, political, and social factors that affect learning and teaching. Introduces students to the fields of educational anthropology and multicultural education and to the application of cultural information to curriculum development and classroom practice. The 3-hour undergraduate version and 4-hour graduate version meet the Cross-Cultural Studies for Teaching Limited-English-Proficient Students requirement for Bilingual and/or ESL Teaching Approval or Endorsement from the Illinois State Board of Education.
"
ENG 598,"Credit: 1 TO 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in engineering intended to augment the existing curriculum. See Class Schedule or college course information for topics and prerequisites.
"
THEA 262,"Credit: 3 hours.
Course Description: Introduction to the principal modes of dramatic expression from around 1870 to the present day.
Prerequisite: Completion of campus Composition I general education requirement."
BUS 301,"Credit: 3 hours.
Course Description: Introduces students to the complexities of business by working on a real organizational problem with an actual client. Students will work with a client to identify, analyze, and present recommendations to solve an organizational problem. Requires students to apply problem-solving skills to uncertain situations as well as build and manage a professional team.
Prerequisite: BUS 201-Business Dynamics."
PS 379,
ARTD 212,
PS 170,"Credit: 3 hours.
Course Description: Study of how political institutions and laws can be both the vehicle and target of social and political transformation. Situates ideas about freedom of speech, civil disobedience, and political protest in historical context, showing how the contemporary political landscape has come to be what it is. An entry level course, it provides students with the fundaments of civic literacy and ideas and analytic tools needed to understand and engage political life.
"
IS 540,
LER 569,"Credit: 2 hours.
Course Description: Designed to help prospective human resource managers learn how to use power and influence as effective tools for understanding the surroundings in which they will be working with and managing people, and achieving the goals that they set for themselves. It provides frameworks and practical tools that allow students to make sense of on-the-job learning experiences and equip them with basic diagnostic and action-planning skills that they can use at different points in their careers - and to consider difficult ethical questions in the process. Prepares students to get things done in the real world, where personalities and office politics sometimes hinder rather than help them.
"
SHS 511,"Credit: 4 hours.
Course Description: Study of the anatomy, pathophysiology, etiology, acoustics, and perception of abnormal voice production, including foundational skills for assessment, differential diagnosis, and management of voice disorders.
Prerequisite: SHS 300, SHS 301, SHS 411 or equivalent or consent of instructor."
PS 300,"Credit: 3 hours.
Course Description: Selected readings and research in political science. See Class Schedule for current topics.
Prerequisite: Six hours of political science, or consent of instructor."
VCM 565,"Credit: 4 hours.
Course Description: Application of statistical methods to epidemiology, clinical and diagnostic medicine, and laboratory biomedical experiments. Topics include data collection and organization, data cleaning, data visualization, descriptive statistics, reliability, sample size estimation, analysis of group differences, correlation and linear regression. Emphasizes use of computerized statistical software in biomedical data analysis.
Prerequisite: Restricted to graduate students."
HDFS 330,"Credit: 3 hours.
Course Description: With technological advances, we often learn of scientific breakthroughs related to health, behavior, attitudes, and beliefs as soon as they happen. Sometimes this information is contradictory or confusing. How do we know what to believe or pay attention to? Students in this course will improve their statistical literacy and learn the statistical tools professionals need to sort through scientific information and separate out the accurate and useful from the misleading and useless. Students will develop critical thinking skills and foundational understanding of statistical concepts through analysis of real-world examples.
Prerequisite: STAT 100 or equivalent required. Restricted to students with Junior standing or higher."
ECE 434,"Credit: 3 OR 4 hours.
Course Description: Introduction to cross-disciplinary ideas and techniques in mobile computing, with an emphasis on how they can be composed to build systems and applications on smartphones, tablets, and wearable devices. Topics of interest include smartphone sensing, energy efficiency, indoor localization, augmented reality, context-awareness, gesture recognition, and data analytics. Various techniques and methods utilized to combine them into functional systems, propose a new system, define the underlying problems, and solve them end to end.
Prerequisite: ECE 391, CS 241, CS 341 or ECE 310."
CHLH 380,"Credit: 1 hours.
Course Description: Provides students with information concerning placement in internship. Topics include internship requirements; student responsibilities; preparation of resumes and cover letters; selecting an organization or site; interviewing; issues of professional development.
Prerequisite: Junior standing."
IS 590,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the field of information foundations, intended to augment the existing Information Sciences curricula.
"
PS 300,"Credit: 3 hours.
Course Description: Selected readings and research in political science. See Class Schedule for current topics.
Prerequisite: Six hours of political science, or consent of instructor."
GCL 148,
UP 494,"Credit: 1 TO 6 hours.
Course Description: Seminar on topics of current interest, as announced in the Schedule.
"
IE 522,"Credit: 4 hours.
Course Description: Statistical tools that are fundamental for financial modeling, analyzing financial data and further studies in financial engineering. Topics include summary statistics, statistical plots, point estimation, accuracy and precision, confidence interval, Monte Carlo simulation, maximum likelihood estimation, normal mixture, resampling, hypothesis testing, simple linear regression, multiple linear regression, variable selection, regression diagnostics, autocorrelation, moving average models, filtering, autoregressive models, ARIMA, forecasting, and selected additional topics. Implementations are done using R.
Prerequisite: IE 300 and MATH 461."
IB 449,
RHET 105,"Credit: 4 hours.
Course Description: Introduction in research-based writing and the construction of academic, argumentative essays that use primary and secondary sources as evidence. This course fulfills the Campus Composition I general education requirement.
"
MS 331,
ENGL 285,"Credit: 3 hours.
Course Description: Examination of selected postcolonial literature, theory, and film as texts that ""write back"" to dominant European representations of power, identity, gender and the Other. Postcolonial writers, critics and filmmakers studied may include Franz Fanon, Edward Said, Aime Cesaire, Ousmane Sembene, Chinua Achebe, Michelle Cliff, Mahesweta Devi, Buchi Emecheta, Derek Walcott and Marlene Nourbese-Philip.
Prerequisite: Completion of the Composition I requirement."
TSM 199,
GGIS 477,"Credit: 3 hours.
Course Description: Fundamentals of energy-matter interaction mechanisms, and the manifestation of reflected and emitted radiation on photographs and images; introduces characteristics of aerial films and filters, electro-optical scanners, and digital processing; and emphasizes applications in environmental problems.
Prerequisite: GGIS 280 or STAT 100 or equivalent, or consent of instructor."
CEE 559,"Credit: 4 hours.
Course Description: Physical processes of transportation and deposition of sediment particles in liquid bodies with particular emphasis on fluvial sediment problems; sediment in desilting basins; reservoirs and delta formation; erosion; stable channel design; river morphology.
Prerequisite: CEE 551."
PSYC 496,"Credit: 2 TO 4 hours.
Course Description: Advanced treatment of current topics in the field of psychology.
Prerequisite: PSYC 100 and junior standing, or consent of instructor; particular sections may have additional 200-level and/or 300-level prerequisites."
PSYC 396,"Credit: 0 TO 3 hours.
Course Description: Intermediate treatment of current topics in the field of psychology.
Prerequisite: PSYC 100 or consent of instructor; particular sections may have additional 200-level prerequisites."
MATH 553,"Credit: 4 hours.
Course Description: Basic introduction to the study of partial differential equations; topics include: the Cauchy problem, power-series methods, characteristics, classification, canonical forms, well-posed problems, Riemann's method for hyperbolic equations, the Goursat problem, the wave equation, Sturm-Liouville problems and separation of variables, Fourier series, the heat equation, integral transforms, Laplace's equation, harmonic functions, potential theory, the Dirichlet and Neumann problems, and Green's functions.
Prerequisite: Consent of instructor."
EPSY 580,"Credit: 4 hours.
Course Description: Intermediate statistical methods in education; includes probability theory, distribution theory, interval estimation, hypothesis testing, regression and correlational analysis, and analysis of variance.
Prerequisite: EPSY 480 or equivalent."
FSHN 140,"Credit: 3 hours.
Course Description: Overview of the hospitality industry with emphasis on organizational and operational structures of the major segments of the industry and career opportunities within each. Field trips required.
"
ECE 416/BIOE 416,"Credit: 3 hours.
Course Description: Underlying engineering principles used to detect small molecules, DNA, proteins, and cells in the context of applications in diagnostic testing, pharmaceutical research, and environmental monitoring. Biosensor approaches including electrochemistry, fluorescence, acoustics, and optics; aspects of selective surface chemistry including methods for biomolecule attachment to transducer surfaces; characterization of bisensor performance; blood glucose detection; fluorescent DNA microarrays; label-free biochips; bead-based assay methods. Case studies and analysis of commercial biosensor.
Prerequisite: ECE 329."
BADM 199,"Credit: 1 TO 5 hours.
Course Description: 
"
MATH 119,"Credit: 3 hours.
Course Description: General education course in mathematics, for students who do not have mathematics as a central part of their studies. The goal is to convey the spirit of mathematical thinking through topics chosen mainly from plane geometry.
Prerequisite: Two units of high school algebra; one unit of high school geometry; or equivalent."
ECE 554/ME 544,
NPRE 498,"Credit: 1 to 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in nuclear, plasma, and radiological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
MATH 564/STAT 555,"Credit: 4 hours.
Course Description: Introduction to topics such as spectral analysis, filtering theory, and prediction theory of stationary processes; Markov chains and Markov processes.
Prerequisite: MATH 446 and MATH 447."
RSOC 110,
SOC 275,"Credit: 3 hours.
Course Description: Nature and extent of crime; past and present theories of crime causation; criminal behavior in the United States and abroad, and its relation to personal, structural and cultural conditions; the nature of the criminal justice system and the influences of the exercise of discretion among actors in the criminal justice system.
Prerequisite: One of the following: SOC 100, SOC 101, SOC 163 or equivalent."
MATH 595,"Credit: 1 TO 4 hours.
Course Description: See Class Schedule for current topics.
Prerequisite: Consent of instructor."
EPSY 490,"Credit: 2 TO 4 hours.
Course Description: Foundational theories and practices of educational psychology, including learning and development.
"
ACCY 550,"Credit: 2 hours.
Course Description: Will examine state and local tax laws prevalent in the United States today. The course will consider the historical progression of state and local taxation, the power of states to tax (and the limitations on that power), and planning strategies for minimizing the impact of state and local taxation. Income taxes are emphasized; however, other taxes such as sales and use taxes and property taxes will be discussed.
Prerequisite: Credit or concurrent enrollment in ACCY 451, ACCY 507, or equivalent or consent of the department. Restricted to students enrolled in a graduate accounting degree program."
BADM 359,"Credit: 3 hours.
Course Description: This course prepares students to critically formulate and solve a range of real-world problems faced by business organizations. Addressing business problems is central to the professional services offered by management consultants across many fields (e.g., strategy, technology, market analysis, operations, supply chain, organization). The course employs a unique classroom model that combines faculty expertise with executive experience from the consulting industry, which allows students to benefit from hands-on experiential learning about business problems.
Prerequisite: Sophomore or Junior standing required."
ADV 476,
SPED 322/PSYC 322/REHB 322,"Credit: 3 hours.
Course Description: Study of the history and current status of the social, emotional, physical, and learning characteristics and problems of persons with an intellectual disability; identification and diagnosis; available services and provisions; and educational programs and lifelong processes of adaptation for these individuals and their families.
Prerequisite: PSYC 100 or SPED 117; or equivalent."
ENGL 281/GWS 281,
RST 199,"Credit: 1 TO 5 hours.
Course Description: Covering various topics for undergraduates in Recreation, Sport & Tourism.
"
SPAN 314,
ARCH 475,"Credit: 6 hours.
Course Description: Schematic design and development of a small-scale public building emphasizing the integration of the basic elements of building; materials, details, structure, technology, program, life safety, and universal design.
Prerequisite: ARCH 374 or ARCH 472."
THEA 400,"Credit: 1 TO 3 hours.
Course Description: The objective of this course is for students to demonstrate an advanced understanding of the principles of theatre design, technology or management, implement acquired skills and apply acquired knowledge in a hands-on, experiential learning setting. Students work on a live performance project in a lead position such as: Scene Designer, Lighting Designer, Costume Designer, Technical Director, Assistant Technical Director, Production Stage Manager, Stage Manager, Assistant Stage Manager, Assistant Production Manager, Actor, Dramaturg or Assistant Dramaturg, Assistant Director etc. THEA 400 projects are assigned either faculty/professional advisor or faculty/professional mentor, depending on the nature and needs of the project and the individual learning objectives for the student.
Prerequisite: Enrollment limited to Theatre majors."
IB 468,
IS 590,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the field of information foundations, intended to augment the existing Information Sciences curricula.
"
SOC 364,"Credit: 3 hours.
Course Description: In this course, we seek to make sense of the impacts of globalization. Is the freer flow of trade, people, and capital around the world responsible for the world's economic, social, and political ills, or are we inclined to say that, on balance, it is still a good thing? As more people become more connected across larger distances in different ways, are they following more of the same norms and growing aware of what they share, or are they more aware of cultural differences and see integration as a threat to social cohesion? Upon completion of this course, students should be able to demonstrate content expertise using both written and verbal communication skills. They will do so by: identifying the different drivers of the phenomenon widely described as globalization; distinguishing between the social, cultural, political, and economic processes of globalization and give examples of how they interact in specific and contingent ways; analyzing the advantages and disadvantages of further global integration; combining the different aspects of globalization into a coherent narrative; designing and defending their own alter-globalization campaign.
Prerequisite: One of the following: SOC 100, SOC 101, SOC 163, or consent of instructor."
MUS 133,"Credit: 3 hours.
Course Description: A survey of various musical traditions from different regions and peoples of the world.
"
RLST 101,
HIST 280/LLS 280,
LEAD 230,"Credit: 3 hours.
Course Description: Application of communication skills used in the dissemination of information by public or organizational leaders in contemporary times. Founded on empirical leadership studies and through use of experiential learning activities, presentations, projects, and examinations, students will consider how identity and the setting impact what they write, say, and do when communicating a message.
"
KOR 202,"Credit: 5 hours.
Course Description: Continuation of KOR 201, and second semester of first year Korean. Students learn basic grammar, vocabulary, and commonly used expressions by practicing conversations and reading conversation based texts, to achieve beginning-intermediate levels of speaking, listening, reading, and writing in the Korean language.
Prerequisite: KOR 201 or as determined by placement test and instructor. Students must have taken KOR 201 at this University. Otherwise, they must take the placement test given in January. Sign up for the test in the office of the EALC Department (244-2725)."
SOC 196,"Credit: 3 hours.
Course Description: Origin of problems; consequences of ameliorative strategies. Typical topics include crime, mental illness, drug use, suicide, sexual behavior, violence, and intergroup conflict.
"
SHS 170,"Credit: 3 hours.
Course Description: Examines broad perspectives of theories and information regarding normal and abnormal communication: how speech and language develop, how people hear, how they produce speech and what can go wrong; addresses the impact of speech and hearing science on society, culture, and modern technologies.
"
LING 490,"Credit: 3 OR 4 hours.
Course Description: Course provides an opportunity to focus on various subfields of the linguistic sciences, depending on the interests of the faculty and student.
Prerequisite: LING 100, LING 400, or consent of instructor."
GEOL 117/ESE 117,"Credit: 3 hours.
Course Description: Integrated introduction to oceanography and marine geology and geophysics. Topics include ocean-basin formation and evolution (in the context of plate tectonics), ocean ecology, the hydrologic cycle, water chemistry, currents and waves, the interaction of oceans with climate, coastal hazards, resources, pollution, and the Law of the Sea. Course is oriented toward students not majoring in science.
"
LING 406,"Credit: 3 OR 4 hours.
Course Description: Introduces the field of natural language processing and computational linguistics. Topics include finite-state methods, parsing, probabilistic methods, machine learning in NLP, computational semantics and applications of NLP technology. The course combines linguistic theory with computational modeling.
Prerequisite: LING 100 or LING 400, and CS 225 or equivalent, and STAT 200 or STAT 212 or STAT 400 or CS 361 or equivalent."
MATH 415,"Credit: 3 or 4 hours.
Course Description: Introductory course emphasizing techniques of linear algebra with applications to engineering; topics include matrix operations, determinants, linear equations, vector spaces, linear transformations, eigenvalues, and eigenvectors, inner products and norms, orthogonality, equilibrium, and linear dynamical systems.
Prerequisite: MATH 241 or consent of instructor."
FIN 557,"Credit: 4 hours.
Course Description: Proper data handling and management is essential to the success of data analysis. The primary goal of this course is to learn principles and practices of data management with an emphasis on working with financial databases. Students will gain practical skills in data storage, data preparation, and data extractions that eventually lead to data analysis. Data management procedures including SQL queries, and data analysis techniques using large-scale statistical software are presented.
Prerequisite: Restricted to MS: Finance, MS:Business Analytics."
STAT 430,"Credit: 3 OR 4 hours.
Course Description: Formulation and analysis of mathematical models for random phenomena; extensive involvement with the analysis of real data; and instruction in statistical and computing techniques as needed.
Prerequisite: STAT 410; STAT 425. Some topics may require additional prerequisites. Read the section text for each topic."
GER 260/CWL 271/ENGL 268,
LAW 627,"Credit: 1 OR 2 hours.
Course Description: Introduction to the basic tools and methodology used in conducting legal research and will develop the skills necessary to identify and locate relevant, complete and current legal information in both print and digital formats. Weekly problem-based research exercises will be assigned.
"
ENG 460,
PS 322,"Credit: 3 hours.
Course Description: Examines the nature of law, law makers, and law appliers; the determinants of law-making; and the societal impact of law.
Prerequisite: PS 101, six hours of Political Science credit, or consent of instructor."
IS 590,"Credit: 2 OR 4 hours.
Course Description: Variety of newly developed and advanced topics courses within the field of information foundations, intended to augment the existing Information Sciences curricula.
"
ECON 519,"Credit: 4 hours.
Course Description: Review and analysis of the theories and patterns of growth in developed and underdeveloped economies; the process and impact of import substitution industrialization; trade and economic development; the role of the state and privatization in the development process; agricultural stagnation and modernization.
Prerequisite: ECON 500 and ECON 501 or consent of instructor. MSPE Graduate Student Standing."
HIST 104,"Credit: 3 hours.
Course Description: What is black music, and how do we know what we think we know about it? Together, we will examine musical creations pioneered by Africans and individuals of African descent over several centuries and across hemispheres. Doing so will allow us to consider the unity of the African Diaspora and its music, and also examine internal differences and diversity. Special focus is given to Latin America and the U.S., but, depending on the semester, we will also read about, listen to, and talk about music and musicians in Asia, Africa, and Europe.
"
ARTD 318,"Credit: 2 hours.
Course Description: This studio explores the construction of compelling user experiences that incorporate the use of digital media. Students investigate both the theoretical and practical aspects of interaction through exercises involving information architecture, interface design, and creative code.
Prerequisite: ARTD 218."
RST 512,"Credit: 4 hours.
Course Description: Examines theoretical and technical principles of personnel managers in leisure service agencies; recruitment, training, selection, and evaluation of personnel with special emphasis on applied measurement concepts and legislation related to personnel administration in leisure services.
Prerequisite: RST 410 or consent of instructor."
TE 401,"Credit: 1 TO 4 hours.
Course Description: Project-based exploration with teams of students working together in a large innovation and entrepreneurial context. Encourage development of innovative, leadership, and entrepreneurial skill sets, including financing, marketing, sales, operations, business plans, and management.
"
ARTD 499,"Credit: 1 TO 4 hours.
Course Description: Topics and subject matter to be published in course listings.
Prerequisite: Senior standing or consent of instructor."
CS 498,"Credit: 1 to 4 hours.
Course Description: Subject offerings of new and developing areas of knowledge in computer science intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites.
"
CHEM 442,"Credit: 4 hours.
Course Description: Lectures and problems focusing on microscopic properties. CHEM 442 and CHEM 444 constitute a year-long study of chemical principles. CHEM 442 focuses on quantum chemistry, atomic and molecular structure, spectroscopy and dynamics.
Prerequisite: CHEM 204 or CHEM 222; MATH 225, 257, or 415, and a minimal knowledge of differential equations, or equivalent; and PHYS 211, PHYS 212, and PHYS 214 or equivalent."
ANSC 404,"Credit: 3 hours.
Course Description: Basic principles of genetics, physiology, nutrition, and health of avian species; the application of science and technology in solving the breeding, nutrition, disease, housing, and other management problems encountered in commercial egg and poultry meat production.
"
IS 517,"Credit: 4 hours.
Course Description: A dramatic increase in computing power has enabled new areas of data science to develop in statistical modeling and analysis. These areas cover predictive and descriptive learning and bridge between ideas and theory in statistics, computer science, and artificial intelligence. We will cover methods including predictive learning: estimating models from data to predict future outcomes. Regression topics include linear regression with recent advances using large numbers of variables, smoothing techniques, additive models, and local regression. Classification topics include linear regression, regularization, logistic regression, discriminant analysis, splines, support vector machines, generalized additive models, naive Bayes, mixture models and nearest neighbor methods as time permits. Lastly we develop neural networks and deep learning techniques, bridging the theory introduced in the earlier parts of the class to purely empirical methods. We situate the course components in the ""data science lifecycle"" as part of the larger set of practices in the discovery and communication of scientific findings.
Prerequisite: IS 507 or equivalent (e.g. intro probability/stats STAT 100, CS 361, or ECON 202); and IS 490 IDS/CS 398 ID/STAT 490 or CS101 or equivalent; or consent of the instructor. Linear Algebra recommended at the level of MATH 125; Calculus recommended at the level of MATH 220."
PSYC 248,"Credit: 3 hours.
Course Description: Survey of basic phenomena in learning and memory emphasizing experimental data from animal and human research.
Prerequisite: PSYC 100 or PSYC 103."
EOL 574,
STAT 100,"Credit: 3 hours.
Course Description: First course in probability and statistics at a precalculus level; emphasizes basic concepts, including descriptive statistics, elementary probability, estimation, and hypothesis testing in both nonparametric and normal models.
Prerequisite: MATH 112."
ACE 341,"Credit: 1 OR 2 hours.
Course Description: Students study contemporary issues and career opportunities associated with various concentrations in the Department of Agricultural and Consumer Economics. An in-depth dialogue with industry professionals helps develop an understanding of the skill sets needed to succeed in each of the different career paths discussed.
"
DANC 201,"Credit: 2 hours.
Course Description: Introduces basic yoga asanas (postures) and overview of the 8-limb system of yoga. Focus will be on physical understanding, correct alignment and inner awareness in the major basic poses. Weekly home practice, ongoing journal, and a research paper about an area of yoga philosophy are required.
Prerequisite: Not intended for Dance or Dance major(s)."
PSYC 396,"Credit: 0 TO 3 hours.
Course Description: Intermediate treatment of current topics in the field of psychology.
Prerequisite: PSYC 100 or consent of instructor; particular sections may have additional 200-level prerequisites."
