YearTerm,Primary Instructor,CourseFull,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W
2015-fa,"Morris, David",ENGL 300,0,5,10,5,2,2,0,0,0,0,0,0,0,0
2015-fa,"Loughran, Patricia",ENGL 301,0,17,4,1,1,1,0,0,0,0,1,0,0,2
2015-fa,"Parker, Robert D",ENGL 301,0,10,4,7,2,0,1,0,0,0,0,0,0,0
2015-fa,"Newcomb, John T",ENGL 373/MACS 373,1,4,8,2,5,0,0,1,0,0,0,0,1,0
2015-fa,"Carney, Paul S",ECE 398,7,12,3,0,2,0,0,0,0,0,0,0,1,0
2015-fa,"Newcomb, Lori H",ENGL 418,1,10,11,6,1,0,0,0,0,0,0,0,1,0
2015-fa,"Pollock, Anthony",ENGL 429,0,14,7,6,1,0,0,0,0,0,0,0,0,0
2015-fa,"Lewis, Alisha L",EOL 440,1,49,26,5,3,0,0,0,0,0,0,0,0,2
2015-fa,"Giani, Matthew S",EOL 570,11,9,8,0,1,0,0,0,0,0,0,0,0,0
2015-fa,"Hood, Denice W",EOL 572,0,23,0,0,2,0,0,0,0,0,0,0,0,0
2015-fa,"Higgins, Christopher R",EPS 201,11,6,1,2,0,0,0,1,0,0,0,0,0,0
2015-fa,"Johnson, Alisha D",EPS 202,0,14,4,3,1,0,0,0,0,0,0,0,0,0
2015-fa,"Anderson, James D",EPS 310/AAS 310/AFRO 310/LLS 310,9,9,10,1,1,4,0,0,0,0,0,0,4,0
2015-fa,"Pak, Yoon K",EPS 402/AAS 402,1,25,6,0,1,1,0,0,2,0,0,0,1,0
2015-fa,"Zola, David",EPSY 201,8,155,19,8,10,1,1,0,0,0,0,0,0,0
2015-fa,"Landrum-Brown, Joycelyn",EPSY 202,15,21,14,8,2,5,2,2,1,0,0,1,1,0
2015-fa,"Doshi, Namrata D",EPSY 220,18,0,2,0,0,1,0,1,0,0,0,0,1,0
2015-fa,"Odom, Michael J",ENGL 200,0,2,7,3,6,3,2,1,1,0,0,0,0,0
2015-fa,"O'Brien, Matthew J",ENGL 200,1,3,9,4,3,3,1,1,0,0,0,0,0,0
2015-fa,"Merrill, Andrew",ENGL 200,0,10,2,3,2,5,2,1,1,0,0,0,2,0
2015-fa,"Burstein, Aaron K",ENGL 200,0,7,12,3,1,1,1,0,0,0,0,0,2,0
2015-fa,"Bradley, Joe A",ENG 198,25,104,29,21,8,9,2,3,0,0,0,0,0,2
2015-fa,"Patterson, William",ENG 198,11,8,8,4,0,1,0,0,0,0,1,0,0,0
2015-fa,"Witmer, Ann-Perry",ENG 198,27,38,15,6,3,0,0,0,1,0,0,0,0,0
2015-fa,"Dai, Yameng",ENG 199,18,6,0,2,1,2,0,0,1,1,2,1,1,0
2015-fa,"Favila, Ivanhoe",ENG 199,0,43,0,0,1,0,0,0,0,0,0,0,0,0
2015-fa,"Mamaril, Natasha Johanna",ENG 199,22,2,1,1,0,0,0,0,0,0,0,0,0,0
2015-fa,"Larson, Stephanie M",ENG 200,0,17,4,0,0,0,1,0,1,0,0,0,0,0
2015-fa,"Jahnke, Keilin T",ENG 333,0,17,10,5,9,4,1,1,2,0,0,1,3,0
2015-fa,"Durack, Gary P",ENG 360,47,30,0,3,13,3,0,2,0,0,0,0,2,0
2015-fa,"Litchfield, J B",ENG 398,0,11,6,0,1,0,3,0,0,0,0,0,0,0
2015-fa,"Durack, Gary P",ENG 460,36,8,0,1,0,1,0,0,0,0,0,0,0,0
2015-fa,"Lilly, Brian P",ENG 461,0,23,0,0,0,0,0,0,1,0,0,0,0,0
2015-fa,"Shabbir, Muhammad S",ENG 466,0,32,10,4,4,0,1,2,0,0,0,0,1,0
2015-fa,"Singer, Clifford E",ENG 471,6,35,7,7,1,0,0,0,2,0,0,0,0,0
2015-fa,"Vojak, Bruce A",ENG 560,0,10,15,4,4,3,0,0,0,0,0,0,0,1
2015-fa,"Wood, Gillen D",ENGL 101,0,2,8,8,6,0,0,2,0,0,0,0,0,0
2015-fa,"Sutor, Sarah A",ENGL 103,0,3,3,5,4,3,0,3,0,1,0,1,1,0
2015-fa,"Claborn, John P",ENGL 104/MACS 104,0,20,10,3,0,1,0,1,0,0,0,0,1,0
2015-fa,"Holguin, Marilyn M",ENGL 104/MACS 104,0,23,6,0,1,0,0,1,0,0,0,0,0,0
2015-fa,"Slobodnik, Sydney J",ENGL 104/MACS 104,0,3,4,9,4,2,2,2,0,1,0,1,1,1
2015-fa,"Moss, Andrew P",ENGL 116,0,9,8,7,2,3,0,0,0,0,0,0,0,0
2015-fa,"Soto Crespo, Ramon E",ENGL 116,6,15,6,1,1,2,0,0,0,0,0,0,0,0
2015-fa,"Baron, Iryce W",ENGL 119/CWL 119,1,10,2,3,2,0,0,1,0,0,0,0,2,0
2015-fa,"Underwood, William E",ENGL 119/CWL 119,2,2,8,4,5,1,1,0,1,1,0,0,0,0
2015-fa,"Barrett, Robert W",ENGL 121,0,7,6,9,3,2,1,1,0,0,0,0,0,0
2015-fa,"Perlus, Jessamyn G",EPSY 220,0,16,3,3,4,0,1,0,0,0,0,0,0,0
2015-fa,"Xu, Shengmei",EPSY 220,10,1,6,1,5,0,0,0,0,0,1,0,0,1
2015-fa,"Yates, Jenna A",EPSY 220,20,2,1,0,1,0,0,0,0,0,0,0,1,0
2015-fa,"Peterson, Paul E",FIN 412,0,7,6,5,0,1,0,1,0,0,1,0,0,0
2015-fa,"Peters, Stephen R",FIN 424,0,4,7,13,4,6,3,0,0,0,0,0,0,0
2015-fa,"Sinow, David M",FIN 435,1,16,6,1,34,1,0,2,0,0,0,0,0,0
2015-fa,"Cannaday, Roger E",FIN 444,2,45,5,3,1,0,0,0,0,0,0,0,0,0
2015-fa,"Chinco, Alexander M",FIN 445,0,34,14,10,4,0,0,0,1,0,0,0,0,0
2015-fa,"Cannaday, Roger E",FIN 447,4,48,1,2,2,0,0,0,0,0,0,0,0,0
2015-fa,"Metzger, Robert L",FIN 463,0,20,17,10,6,1,0,0,0,0,0,0,0,0
2015-fa,"Clark-Joseph, Adam D",FIN 500,1,9,19,15,9,3,2,0,0,0,0,0,0,0
2015-fa,"Deryugina, Tatyana",FIN 501,9,51,31,29,25,4,1,0,0,0,0,0,0,1
2015-fa,"Choi, Jaewon",FIN 511,5,18,12,7,3,0,0,0,0,0,0,0,0,0
2015-fa,"Pollet, Joshua M",FIN 511,0,32,47,45,29,2,2,0,0,0,0,0,0,0
2015-fa,"Weisbenner, Scott J",FIN 511,1,9,8,1,2,0,0,0,0,0,0,0,0,0
2015-fa,"Widdicks, Martin",FIN 512,12,38,23,22,19,4,2,1,0,0,0,0,0,0
2015-fa,"Widdicks, Martin",FIN 516,1,9,4,11,4,0,0,0,0,0,0,0,0,0
2015-fa,"Huang, Jiekun",FIN 521,3,19,11,8,5,0,0,0,0,0,0,0,0,0
2015-fa,"Weisbenner, Scott J",FIN 521,1,46,15,13,23,9,4,1,0,0,0,0,0,0
2015-fa,"Cannaday, Roger E",FIN 541,1,31,4,2,4,0,0,0,0,0,0,0,0,0
2015-fa,"Reif, Julian C",FIN 572,0,2,8,4,5,3,0,0,0,0,0,0,0,0
2015-fa,"Fullerton, Don",FIN 575,2,10,8,5,9,1,0,0,0,0,0,0,0,0
2015-fa,"Fullerton, Don",FIN 578,0,12,5,8,8,0,0,0,0,0,0,0,0,0
2015-fa,"Almeida, Heitor",FIN 580,10,17,0,0,0,0,0,1,0,0,1,0,3,1
2015-fa,"Clark-Joseph, Adam D",FIN 580,2,7,9,5,6,4,0,0,0,0,0,0,0,0
2015-fa,"Davis, Donald W",FIN 580,0,25,0,0,15,0,0,0,0,0,0,0,0,0
2015-fa,"Sinow, David M",FIN 580,1,43,3,0,12,1,0,0,0,0,0,0,0,0
2015-fa,"McLay, Molly M",CHLH 199,3,24,7,2,0,0,0,0,0,0,0,0,0,0
2015-fa,"Weisbenner, Scott J",FIN 580,0,11,3,6,5,0,0,0,0,0,0,0,0,0
2015-fa,"Krueger, George J",FIN 423,0,16,20,13,2,3,0,0,0,0,0,0,0,0
2015-fa,"Wu, Yufeng",FIN 321,0,15,4,5,4,1,0,0,0,0,0,0,0,0
2015-fa,"Espelage, Dorothy L",EPSY 420/PSYC 420,0,79,0,0,6,0,0,1,0,0,0,0,0,1
2015-fa,"Peters, Stephen R",FIN 321,0,9,15,18,19,11,7,0,0,0,0,0,0,0
2015-fa,"Morrow, Daniel G",EPSY 456/IE 445/PSYC 456,0,28,0,0,8,0,0,3,0,0,1,0,0,0
2015-fa,"Crues, Robert W",EPSY 480,2,15,2,6,4,1,4,0,0,0,0,0,1,0
2015-fa,"Sunderman, Judith A",EPSY 485/CI 485,3,75,0,0,7,0,0,0,1,0,0,0,0,0
2015-fa,"Cope, William",EPSY 556,21,4,3,0,1,0,0,0,0,0,0,0,0,0
2015-fa,"Greene, Jennifer C",EPSY 575/SPED 575,4,11,3,5,0,0,0,0,0,0,0,0,0,0
2015-fa,"Robinson-Cimpia, Joseph P",EPSY 580,20,9,2,3,1,2,0,0,0,0,0,0,0,0
2015-fa,"Anderson, Carolyn J",EPSY 587/PSYC 587/STAT 587,1,26,0,0,3,2,0,0,0,0,0,0,0,1
2015-fa,"Tomkin, Jonathan H",ESE 200,4,7,7,13,18,14,9,4,5,1,1,1,0,0
2015-fa,"Cole, Todd M",ESE 320/GEOG 370/GEOL 370,10,13,4,10,4,3,1,3,0,0,0,0,1,0
2015-fa,"Sivapalan, Murugesu",ESE 320/GEOG 370/GEOL 370,1,8,6,13,4,1,1,0,0,0,1,0,0,0
2015-fa,"Kanter, Robert E",ESE 360/ENGL 360,1,3,5,8,3,1,0,0,0,0,0,0,0,0
2015-fa,"Mette, Alan T",FAA 101,45,132,14,10,43,9,9,14,7,2,15,1,9,1
2015-fa,"Becker, Susan E",FAA 220,21,8,2,1,0,1,0,1,0,0,0,0,1,0
2015-fa,"Ersahin, Nuri",FIN 221,1,30,9,10,29,5,4,11,4,0,4,0,3,2
2015-fa,"Kim, Hyun",FIN 221,2,28,9,5,18,1,3,5,1,1,0,0,2,2
2015-fa,"Polhuy, Oksana",FIN 221,2,30,8,8,27,8,6,10,0,2,4,0,5,1
2015-fa,"Shahhosseini, Mehrnoush",FIN 221,3,48,8,7,26,3,3,14,3,1,4,0,1,3
2015-fa,"Davis, Donald W",FIN 230,11,60,11,15,22,4,4,20,0,0,4,0,4,0
2015-fa,"Davis, Jeffrey M",FIN 241,0,26,6,4,2,2,0,0,0,0,0,0,0,0
2015-fa,"Perkins, Scott E",FIN 241,1,11,7,4,7,4,1,0,0,0,0,0,0,0
2015-fa,"Oltheten, Elisabeth",FIN 300,2,5,3,3,3,12,7,4,3,1,0,0,5,2
2015-fa,"Smith, Mark K",FIN 300,0,4,9,9,15,9,10,7,6,2,0,0,1,0
2015-fa,"Spencer, Xiangyi X",FIN 300,2,5,2,5,4,5,5,5,9,3,0,0,2,1
2015-fa,"Waspi, Kevin G",FIN 300,0,1,0,1,7,4,3,2,0,2,1,0,9,1
2015-fa,"Huang, Jiekun",FIN 321,5,26,9,10,14,4,2,2,0,0,0,0,0,0
2015-fa,"Franks, Suzanne C",EIL 411,1,15,4,0,0,0,0,0,1,0,0,0,0,0
2015-fa,"Mayo, Cris S",EDUC 201,0,64,12,2,2,0,0,0,0,0,0,0,0,0
2015-fa,"McCarthey, Sarah J",EDUC 101,54,88,7,2,1,1,0,3,1,0,0,0,0,0
2015-fa,"Raginsky, Maxim",ECE 598,14,5,0,0,4,0,0,0,0,0,0,0,0,0
2015-fa,"Cantet, Maria N",ECON 102,39,50,10,13,11,3,6,0,3,1,0,1,0,0
2015-fa,"Chae, Jiyoung",ECON 102,27,60,19,6,13,3,4,4,3,0,1,0,1,1
2015-fa,"Chen, Yuci",ECON 102,15,20,9,9,8,1,6,3,1,0,0,1,2,1
2015-fa,"Constantinou, Evangelos",ECON 102,5,19,7,13,8,3,4,2,0,2,0,1,1,0
2015-fa,"Corredor Waldro, Adriana",ECON 102,19,18,7,13,10,2,1,2,0,0,1,0,1,0
2015-fa,"Dent, Keith",ECON 102,12,30,9,7,7,2,3,2,1,1,0,0,1,0
2015-fa,"Feld, Brian H",ECON 102,6,8,6,4,5,2,1,1,0,1,0,0,0,0
2015-fa,"Gao, Xing",ECON 102,11,48,17,25,19,6,2,5,0,3,1,0,1,0
2015-fa,"Gillis, Monica",ECON 102,27,58,13,16,13,4,7,1,1,1,0,1,2,0
2015-fa,"Ham Gonzalez, Andres",ECON 102,6,21,3,3,0,2,0,0,0,0,1,0,0,0
2015-fa,"Jachetta, Christine B",ECON 102,26,44,16,22,20,2,2,5,0,2,1,1,2,0
2015-fa,"Kwak, Eunhye",ECON 102,4,6,7,4,2,3,1,1,0,0,0,1,0,0
2015-fa,"Ma, Sen",ECON 102,23,47,14,24,18,3,2,2,1,1,1,0,0,1
2015-fa,"Quigley, David",ECON 102,3,4,8,5,1,4,1,3,2,2,0,0,1,0
2015-fa,"Saenz Munoz, Luis Felipe",ECON 102,11,25,8,16,7,1,2,0,0,2,0,0,2,0
2015-fa,"Szewerniak, Wojciech W",ECON 102,11,24,21,14,8,8,5,4,2,1,0,0,0,0
2015-fa,"Yang, Bei",ECON 102,2,5,2,4,7,2,3,3,1,0,0,0,3,0
2015-fa,"Zhang, Cong",ECON 102,12,51,17,25,22,8,7,1,0,0,1,0,2,0
2015-fa,"Cho, Hee Pyung",ECON 103,4,7,3,10,5,4,8,5,4,0,0,0,0,0
2015-fa,"Ding, Chen",ECON 103,3,15,23,17,15,12,13,12,10,3,0,0,2,1
2015-fa,"Halim, Daniel Z",ECON 103,3,6,6,10,11,5,5,5,3,1,0,0,0,0
2015-fa,"Kelly, James C",ECON 103,3,27,36,31,21,7,7,2,0,1,0,1,0,0
2015-fa,"Sun, Lingling",ECON 103,4,21,34,18,31,7,6,3,1,0,0,0,0,3
2015-fa,"Xu, Jianfeng",ECON 103,0,33,12,35,23,5,6,3,3,1,1,0,0,1
2015-fa,"Zhang, Zheng",ECON 103,0,14,19,36,29,19,3,4,0,0,0,1,1,0
2015-fa,"Bottan, Daria",ECON 102,26,88,31,15,25,6,7,7,0,2,1,0,5,1
2015-fa,"Do, Minh N",ECE 551,16,15,4,2,0,0,0,0,0,0,0,0,0,0
2015-fa,"Anderson, Patrese N",ECON 202,2,19,0,2,19,0,1,5,1,1,6,1,1,0
2015-fa,"Raginsky, Maxim",ECE 534,12,5,0,5,7,0,3,0,0,0,0,0,0,0
2015-fa,"Haken, Lippold",ECE 402,6,8,8,2,8,1,0,1,1,0,0,0,0,1
2015-fa,"Patel, Sanjay J",ECE 408/CS 483/CSE 408,6,36,17,7,26,5,4,3,3,0,0,0,1,0
2015-fa,"Hwu, Wen-Mei W",ECE 411,2,24,9,6,12,7,3,7,1,1,0,0,0,0
2015-fa,"Hasegawa-Johnso, Mark A",ECE 420,5,10,6,4,3,1,0,0,0,0,0,0,0,0
2015-fa,"Kravets, Robin H",ECE 439/CS 439,2,16,7,3,1,0,0,0,0,0,0,0,0,0
2015-fa,"Li, Xiuling",ECE 444,2,9,9,0,5,3,1,0,0,0,0,0,0,0
2015-fa,"Lyding, Joseph W",ECE 444,8,12,0,0,9,0,0,3,0,0,0,0,0,0
2015-fa,"Carney, Paul S",ECE 445,15,30,9,8,13,18,9,1,4,0,7,0,4,1
2015-fa,"Schutt-Aine, Jose E",ECE 451,5,3,7,5,5,0,0,1,0,0,0,0,0,0
2015-fa,"Franke, Steven J",ECE 453,3,8,2,1,9,0,0,2,0,0,1,0,0,1
2015-fa,"Eden, James G",ECE 455,3,9,1,1,6,3,1,0,0,1,0,0,1,0
2015-fa,"Makela, Jonathan J",ECE 456/AE 456,1,10,5,5,3,0,0,0,1,0,0,0,1,0
2015-fa,"Alvarez, Juan",ECE 459,2,3,4,2,2,4,2,1,1,0,0,0,0,0
2015-fa,"Vasudevan, Shobha",ECE 462,7,11,10,5,8,3,2,2,1,0,2,0,1,0
2015-fa,"Pilawa Podgursk, Robert C",ECE 464,6,26,10,4,20,5,6,9,1,1,8,1,0,0
2015-fa,"Pilawa Podgursk, Robert C",ECE 469,5,9,13,2,8,5,1,2,0,1,0,0,0,0
2015-fa,"Hutchinson, Seth A",ECE 470/AE 482/ME 445,3,22,5,9,9,6,4,8,3,1,0,0,4,0
2015-fa,"Overbye, Thomas J",ECE 476,5,8,1,11,10,6,1,2,2,1,0,1,0,0
2015-fa,"Shanbhag, Naresh R",ECE 482,3,6,6,5,18,5,2,2,3,0,0,0,0,1
2015-fa,"Hutchinson, Seth A",ECE 486,4,14,6,6,13,6,3,4,1,1,2,0,0,0
2015-fa,"Belabbas, Mohamed Ali",ECE 515/ME 540,12,18,17,3,0,2,0,0,0,0,0,0,0,0
2015-fa,"Liberzon, Daniel M",ECE 517,1,14,3,6,1,0,0,0,0,0,0,0,0,1
2015-fa,"Li, Xiuling",ECE 518,7,10,7,1,0,0,0,0,0,0,0,0,0,1
2015-fa,"Jin, Jianming",ECE 520,6,8,7,5,5,0,0,0,0,0,0,0,0,0
2015-fa,"Chen, Deming",ECE 527,3,14,10,6,2,0,0,0,0,0,0,0,0,0
2015-fa,"Amini Behbahani, Amirhoss",ECON 202,8,29,0,4,28,2,3,13,3,0,9,0,3,1
2015-fa,"Fernandez Guerr, Sofia",ECON 202,1,23,1,1,17,1,1,3,0,0,6,3,3,0
2015-fa,"Bera, Anil K",ECON 532,11,18,10,7,4,0,0,0,0,0,0,0,0,0
2015-fa,"Veras De Paiva, Henrique",ECON 450,2,1,5,6,6,2,1,2,1,0,1,0,0,0
2015-fa,"Sahakyan, Zaruhi M",ECON 469,20,7,5,5,9,5,2,0,1,0,0,0,0,0
2015-fa,"Arvin-Rad, Hassan",ECON 471,3,10,3,3,1,10,0,1,5,0,3,0,0,0
2015-fa,"Yang, Lanwei J",ECON 471,0,7,3,6,2,4,2,0,1,0,0,0,0,0
2015-fa,"Marshall, Guillermo",ECON 480,9,8,6,7,1,8,1,6,0,0,0,1,1,1
2015-fa,"Arnould, Richard J",ECON 481,7,5,4,1,9,0,0,0,0,0,0,0,0,0
2015-fa,"Arnould, Richard J",ECON 482,1,14,6,6,5,1,0,0,0,0,0,0,0,0
2015-fa,"Arvan, Lanny",ECON 490,0,10,1,1,11,3,0,2,0,0,0,0,0,0
2015-fa,"Buckley, Bryan D",ECON 490,2,3,2,7,8,6,1,0,0,0,0,0,0,0
2015-fa,"Das, Satya P",ECON 490,0,5,4,7,5,2,0,0,0,0,0,0,0,0
2015-fa,"Fung, Juan F",ECON 490,5,1,0,2,2,2,2,0,5,0,2,0,0,0
2015-fa,"Kleemans, Maria",ECON 490,5,3,5,3,4,1,0,1,0,0,0,0,1,0
2015-fa,"Li, Zening",ECON 490,3,6,0,3,5,4,0,4,0,0,3,0,1,1
2015-fa,"Park, Woong Yong",ECON 490,2,8,7,1,5,1,1,1,0,0,0,0,0,0
2015-fa,"Shafer, Rachel C",ECON 490,2,12,3,3,6,1,0,1,0,0,0,0,0,0
2015-fa,"Wang, Xin",ECON 490,12,7,4,4,3,1,1,1,2,0,0,0,0,0
2015-fa,"Williams, Steven R",ECON 490,1,4,4,5,5,4,1,2,0,0,1,0,0,0
2015-fa,"Zhao, Rui",ECON 490,2,3,3,8,5,4,1,0,0,0,0,0,2,0
2015-fa,"Krasa, Stefan",ECON 500,2,13,6,17,11,4,0,1,0,0,0,0,0,0
2015-fa,"Parente, Stephen L",ECON 501,4,9,13,8,6,1,0,0,0,0,0,0,0,0
2015-fa,"Toossi, Ali",ECON 502,2,7,10,14,10,6,1,0,0,0,0,0,0,0
2015-fa,"Giertz, J F",ECON 510,1,12,21,2,1,0,0,0,0,0,0,0,0,0
2015-fa,"Das, Satya P",ECON 513,0,10,3,10,7,1,0,0,0,0,0,0,0,0
2015-fa,"Paiva, Claudio A",ECON 517,6,9,12,11,10,5,0,3,0,0,0,0,0,0
2015-fa,"Lemus Encalada, Jorge A",ECON 530,3,7,4,7,7,1,1,0,0,0,0,0,0,0
2015-fa,"Feng, Zhigang",ECON 531,2,5,7,6,9,2,1,0,0,0,0,0,0,0
2015-fa,"Paiva, Claudio A",ECON 462,3,2,2,3,4,7,4,1,1,1,0,0,1,0
2015-fa,"Schneider, Rodrigo A",ECON 440/LER 440,1,3,1,1,2,3,2,2,5,0,1,0,5,1
2015-fa,"Hwang, In Do",ECON 202,1,18,4,3,35,1,0,14,0,2,4,0,2,2
2015-fa,"Baer, Werner",ECON 420,0,40,35,30,68,13,6,19,0,0,0,0,0,0
2015-fa,"Kim, Kwanghyun",ECON 202,0,10,0,0,11,0,1,4,0,2,3,0,1,2
2015-fa,"Lee, Jae-Myun",ECON 202,5,22,3,3,36,4,4,13,2,1,7,1,1,0
2015-fa,"Schultz, Colleen",ECON 202,0,11,0,1,8,1,1,3,0,0,2,0,1,0
2015-fa,"Vogler, Jacob E",ECON 202,3,16,0,0,17,0,2,7,2,0,6,1,1,0
2015-fa,"Arga, Desak Nyoman Fi",ECON 203,10,12,11,10,12,13,8,8,6,4,1,1,7,0
2015-fa,"Bottan, Nicolas L",ECON 203,7,13,6,12,20,13,6,10,4,6,1,1,8,0
2015-fa,"Fan, Rui",ECON 203,1,2,2,3,2,1,0,2,3,0,0,1,4,0
2015-fa,"Munoz Morales, Juan S",ECON 203,9,14,10,13,12,9,10,9,8,5,6,2,5,0
2015-fa,"Olivares Gonzal, Mauricio",ECON 203,9,8,6,9,7,7,5,13,6,8,1,2,8,1
2015-fa,"Sarhangian, Saeed",ECON 203,4,10,8,6,13,18,14,10,3,6,7,1,10,2
2015-fa,"Leite Estanisla, Luiz Fel",ECON 220,2,2,7,1,3,2,2,0,0,1,1,0,2,0
2015-fa,"Farhoodi, Abdollah",ECON 302,3,16,4,9,11,4,7,6,0,6,1,1,5,0
2015-fa,"Khazra, Nazanin",ECON 302,7,15,8,5,13,6,3,7,3,1,3,0,3,0
2015-fa,"Sadayuki, Taisuke",ECON 302,4,8,7,5,8,11,1,3,4,2,1,2,7,1
2015-fa,"Set, Eric B",ECON 302,2,2,2,1,7,3,1,0,0,2,0,0,1,0
2015-fa,"Shakiba, Mehdi",ECON 302,7,14,22,10,14,12,13,2,10,2,5,4,2,2
2015-fa,"Wu, Yue",ECON 302,16,24,11,15,22,16,12,9,7,3,3,0,7,1
2015-fa,"Xu, Hui",ECON 302,13,6,12,12,13,19,4,4,6,4,1,2,3,1
2015-fa,"Zuo, Bing",ECON 302,3,14,11,2,13,4,5,6,2,5,2,1,3,0
2015-fa,"Arvin-Rad, Hassan",ECON 303,4,10,3,7,4,4,2,5,6,1,4,0,2,0
2015-fa,"Da Silva Cortes, Gustavo",ECON 303,4,15,12,18,24,9,7,2,3,1,1,0,1,1
2015-fa,"Feng, Zhigang",ECON 303,1,4,2,11,6,2,3,1,0,0,0,0,0,0
2015-fa,"Khan, Asad R",ECON 303,4,11,17,15,30,28,15,4,3,2,1,2,0,2
2015-fa,"Arvin-Rad, Hassan",ECON 411,3,8,5,0,2,3,5,4,3,0,1,0,1,2
2015-fa,"McMillen, Daniel P",ECON 414/FIN 414,1,13,2,3,22,1,0,4,0,0,0,0,0,0
2015-fa,"Gobin, Robyn L",CHLH 200,0,40,0,0,18,0,0,9,0,0,2,0,0,0
2015-fa,"Hepp, John",ACCY 510,8,33,16,7,9,4,0,0,0,0,0,0,0,0
2015-fa,"Firkins, Carol H",CHLH 125,34,85,0,0,12,0,0,4,0,0,2,1,0,0
2015-fa,"Fischer-Brown, Amy E",ANSC 307,1,10,6,9,15,7,3,7,3,3,0,3,3,0
2015-fa,"Parrett, Douglas F",ANSC 100,12,63,0,12,66,0,7,20,0,0,1,0,2,1
2015-fa,"Cobb, Alan R",ANSC 103,0,76,0,1,0,0,0,0,0,0,0,0,0,0
2015-fa,"Allen, Crystal A",ANSC 110,1,14,4,1,1,0,0,1,1,0,1,0,0,0
2015-fa,"Cardoso, Felipe",ANSC 201,5,28,0,0,3,0,0,0,0,0,0,1,0,0
2015-fa,"Kline, Kevin H",ANSC 206,3,31,4,2,13,1,1,0,0,0,0,0,0,0
2015-fa,"Zhao, Kai",ANSC 207,15,41,24,8,10,2,3,3,1,0,2,0,0,0
2015-fa,"de Flamingh, Alida",ANSC 207,8,16,3,3,5,2,1,1,0,0,1,0,0,1
2015-fa,"Beever, Jonathan E",ANSC 221,1,36,3,5,41,2,7,30,0,5,11,0,2,0
2015-fa,"Wheeler, Matthew B",ANSC 222,3,16,8,11,26,3,6,20,13,6,12,4,12,2
2015-fa,"Albert, Sarah D",ANSC 250,128,129,52,24,7,4,6,2,2,1,0,0,1,0
2015-fa,"Hurley, Walter L",ANSC 298,57,8,2,1,2,0,1,0,0,0,0,0,0,0
2015-fa,"Albert, Sarah D",ANSC 305,12,10,4,0,6,1,0,0,0,0,1,0,0,0
2015-fa,"Boler, Dustin D",ANSC 309,0,26,2,7,2,5,0,1,0,0,0,0,0,0
2015-fa,"Jonkouski, Gail C",AE 100,26,14,4,3,5,0,0,2,1,0,0,0,0,0
2015-fa,"Felix, Tara L",ANSC 322,0,8,5,1,4,3,0,0,0,0,1,0,2,0
2015-fa,"White, Bryan A",ANSC 350,0,51,0,3,4,1,0,0,0,0,0,0,0,0
2015-fa,"Fischer-Brown, Amy E",ANSC 370,3,10,1,1,4,2,0,1,0,1,0,0,1,0
2015-fa,"Albert, Sarah D",ANSC 398,3,29,1,0,1,0,0,0,0,0,0,0,0,1
2015-fa,"Shike, Daniel W",ANSC 398,7,12,0,2,1,0,0,0,0,0,0,0,0,0
2015-fa,"Parrett, Douglas F",ANSC 401,1,40,1,3,7,0,2,2,0,0,0,0,0,0
2015-fa,"Drackley, James K",ANSC 420,2,10,2,4,11,3,1,11,1,2,1,1,3,0
2015-fa,"Nowak, Romana A",ANSC 431,6,11,2,10,14,2,2,4,0,0,1,0,1,1
2015-fa,"Dilger, Anna C",ANSC 452,4,31,0,0,14,0,0,2,0,0,0,0,0,0
2015-fa,"Johnson, Janeen L",ANSC 467,2,18,5,5,4,0,0,0,0,0,0,0,2,0
2015-fa,"Loerch, Steven C",ANSC 498,3,67,0,0,3,0,0,0,0,0,0,0,0,0
2015-fa,"Miller, Gay Y",ANSC 499,0,8,0,0,8,0,0,10,0,0,0,0,1,0
2015-fa,"Davis, Jennifer L",AIS 101,6,25,2,1,1,0,0,2,1,0,0,0,0,0
2015-fa,"Rasberry, Moses K",AHS 199,10,22,0,3,6,0,0,1,0,0,1,0,2,0
2015-fa,"Gower, Ryan K",AHS 125,0,61,0,0,2,0,0,0,0,0,0,0,1,0
2015-fa,"Keating, Kari H",AGED 480,7,22,0,2,3,0,1,0,1,0,0,0,0,0
2015-fa,"Geubelle, Philippe H",AE 199,33,26,0,0,1,0,1,0,0,0,0,0,0,0
2015-fa,"Woodard, Brian S",AE 199,0,34,15,10,4,6,1,0,0,0,0,0,2,0
2015-fa,"Ghosh, Alexander R",AE 202,4,9,11,7,4,6,1,2,4,0,2,0,3,0
2015-fa,"Ansell, Phillip J",AE 311,1,16,8,8,7,4,2,5,1,1,0,0,1,0
2015-fa,"Dutton, J C",AE 311,1,16,2,2,24,0,1,11,0,0,1,0,0,0
2015-fa,"James, Kai",AE 321,7,17,13,12,23,8,11,9,7,3,2,0,4,1
2015-fa,"Bretl, Timothy W",AE 352,45,26,12,6,7,6,8,0,3,1,1,0,6,0
2015-fa,"Coverstone, Victoria L",AE 402,1,25,14,4,8,7,0,0,0,0,0,0,0,1
2015-fa,"Selig, Michael S",AE 416,1,9,6,6,2,2,2,1,1,1,0,0,1,0
2015-fa,"Jonkouski, Gail C",AE 442,19,25,5,1,0,1,0,1,0,0,0,0,0,0
2015-fa,"Putnam, Zachary R",AE 442,0,11,0,0,17,0,0,7,0,0,3,0,2,1
